id,species,origin,size,region,goal,query,n_enabled,critical,core,addons,disabled,query_factor_ok,n_uncertain,review_decision,mentor_comment
silver_01_humangermlinestructuralCNVcoding+regulat,human,germline,structural-CNV,coding+regulatory-noncoding,basic-consequence+clinical-interpretation,I have germline whole-genome data from a rare-disease family and I'm looking at large copy-number changes — big deletions and duplications. I need both a quick read on what genes and regulatory regions they hit and whether any look clinically relevant.,18,symbol; regulatory; clinvar; gnomad_sv,biotype; canonical; cell_type; check_existing; clinvar; core_type; hgvs; mane; numbers; protein; regulatory; symbol,dosage_sensitivity; enformer; gnomad_sv; nmd; phenotypes; utrannotator,most_severe; summary,yes,1,,
silver_02_nonhumansomaticsmallcodingpopulationfreq,non-human,somatic,small,coding,population-frequency,We sequenced tumours from a zebrafish cancer model and called point mutations and small indels in coding genes. I mainly want to know how common these variants are in the reference zebrafish population.,7,symbol,biotype; canonical; check_existing; core_type; numbers; symbol,nmd,most_severe; summary,yes,1,,
silver_03_humangermlinesmallcoding+regulatorynonco,human,germline,small,coding+regulatory-noncoding,basic-consequence+population-frequency,"Annotating germline SNVs and small indels from a human cohort, across both coding and non-coding regions — I just want the basic consequence and how frequent each one is in the population.",16,af_gnomade; symbol; regulatory,af; af_1kg; af_gnomade; af_gnomadg; biotype; canonical; cell_type; check_existing; core_type; frequency; mane; numbers; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,1,,
silver_04_nonhumansomaticstructuralCNVregulatoryno,non-human,somatic,structural-CNV,regulatory-noncoding,clinical-interpretation,"I'm studying somatic structural variants — large deletions and rearrangements — in mouse tumours, focused on non-coding regulatory regions, and I want to interpret which ones are likely functionally important.",9,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; regulatory; symbol,phenotypes,most_severe; summary,yes,2,,
silver_05_nonhumangermlinesmallcoding+regulatoryno,non-human,germline,small,coding+regulatory-noncoding,basic-consequence+population-frequency,"I have inherited small variants (SNVs/indels) from a population survey of wild deer mice, spanning coding and regulatory regions. I want basic consequences and population allele frequencies.",10,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; numbers; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,2,,
silver_06_humansomaticstructuralCNVregulatorynonco,human,somatic,structural-CNV,regulatory-noncoding,clinical-interpretation,"Somatic copy-number and structural variants from a human tumour cohort, focused on non-coding regulatory elements — I want to interpret their likely clinical/functional significance.",15,symbol; regulatory; clinvar; gnomad_sv,biotype; canonical; cell_type; check_existing; clinvar; core_type; hgvs; mane; regulatory; symbol,dosage_sensitivity; enformer; gnomad_sv; phenotypes; utrannotator,most_severe; summary,yes,1,,
silver_07_nonhumangermlinestructuralCNVcoding+regu,non-human,germline,structural-CNV,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"Germline structural variants (large CNVs) in a chicken breeding population, across coding and regulatory regions — I'd like functional interpretation and how common each CNV is in the population.",12,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; numbers; protein; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,3,,
silver_08_humansomaticsmallcodingbasicconsequence,human,somatic,small,coding,basic-consequence,I've called somatic point mutations in the coding regions of a human tumour sample and I just need a quick consequence call on each — nothing fancy.,8,symbol,biotype; canonical; check_existing; core_type; mane; numbers; symbol,nmd,most_severe; summary,yes,0,,
silver_09_humangermlinesmallcoding+regulatorynonco,human,germline,small,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"Germline SNVs and small indels from a rare-disease patient's genome, spanning coding and regulatory regions. I want full clinical interpretation and population frequencies for ACMG filtering.",26,af_gnomade; symbol; regulatory; clinvar,af; af_1kg; af_gnomade; af_gnomadg; biotype; canonical; cell_type; check_existing; clinvar; core_type; frequency; hgvs; mane; numbers; polyphen; protein; regulatory; sift; symbol,alphamissense; cadd; enformer; nmd; phenotypes; spliceai; utrannotator,most_severe; summary,yes,2,,
silver_10_nonhumansomaticstructuralCNVcodingbasicc,non-human,somatic,structural-CNV,coding,basic-consequence,"Large somatic deletions and duplications from a rat tumour WGS run — I only need to know which protein-coding genes they disrupt, a quick overview.",7,symbol,biotype; canonical; check_existing; core_type; numbers; symbol,nmd,most_severe; summary,yes,1,,
silver_11_humangermlinesmallcoding+regulatorynonco,human,germline,small,coding+regulatory-noncoding,clinical-interpretation+population-frequency,I'm doing diagnostic interpretation of a patient's germline exome and genome — coding and regulatory single-nucleotide and small indel variants — and I need pathogenicity evidence plus gnomAD frequencies.,26,af_gnomade; symbol; regulatory; clinvar,af; af_1kg; af_gnomade; af_gnomadg; biotype; canonical; cell_type; check_existing; clinvar; core_type; frequency; hgvs; mane; numbers; polyphen; protein; regulatory; sift; symbol,alphamissense; cadd; enformer; nmd; phenotypes; spliceai; utrannotator,most_severe; summary,yes,2,,
silver_12_nonhumansomaticstructuralCNVregulatoryno,non-human,somatic,structural-CNV,regulatory-noncoding,basic-consequence,Somatic structural variants in the non-coding genome of pig tumour samples — I just want a quick read on which regulatory features are affected.,7,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; regulatory; symbol,,most_severe; summary,yes,2,,
silver_13_nonhumansomaticstructuralCNVcoding+regul,non-human,somatic,structural-CNV,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"Somatic CNVs from Drosophila tumour models, coding and regulatory, and I'd like functional interpretation plus how common the events are in the population.",12,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; numbers; protein; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,3,,
silver_14_humangermlinesmallregulatorynoncodingbas,human,germline,small,regulatory-noncoding,basic-consequence,"I have a handful of inherited non-coding single-nucleotide variants in a person, sitting in enhancer/promoter regions, and I just want the basic regulatory consequence.",9,symbol; regulatory,af_gnomadg; biotype; canonical; cell_type; check_existing; core_type; regulatory; symbol,phenotypes,most_severe; summary,yes,0,,
silver_15_nonhumangermlinesmallcoding+regulatoryno,non-human,germline,small,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"Inherited SNVs and small indels from a cohort of laboratory mice, across coding and regulatory regions — I want functional interpretation and population frequencies.",13,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; numbers; protein; regulatory; sift; symbol,nmd; phenotypes,most_severe; summary,yes,4,,
silver_16_humansomaticstructuralCNVcodingbasiccons,human,somatic,structural-CNV,coding,basic-consequence,"Somatic large deletions/duplications in a human tumour, protein-coding focus — just a quick list of which genes are hit.",9,symbol,biotype; canonical; check_existing; core_type; mane; numbers; symbol,dosage_sensitivity; nmd,most_severe; summary,yes,1,,
silver_17_humangermlinesmallcoding+regulatorynonco,human,germline,small,coding+regulatory-noncoding,basic-consequence+population-frequency,"Germline point variants and small indels from a healthy human population study, coding and non-coding — basic consequence plus allele frequencies to flag common ones.",16,af_gnomade; symbol; regulatory,af; af_1kg; af_gnomade; af_gnomadg; biotype; canonical; cell_type; check_existing; core_type; frequency; mane; numbers; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,1,,
silver_18_nonhumansomaticstructuralCNVregulatoryno,non-human,somatic,structural-CNV,regulatory-noncoding,clinical-interpretation,"I'm interpreting somatic structural variants in the regulatory, non-coding genome of a mouse cancer model and want to judge their likely functional impact.",9,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; regulatory; symbol,phenotypes,most_severe; summary,yes,2,,
silver_19_humansomaticstructuralCNVcoding+regulato,human,somatic,structural-CNV,coding+regulatory-noncoding,basic-consequence+clinical-interpretation,"Somatic copy-number variants in a human tumour, coding and regulatory — I want both a quick overview of what's disrupted and a clinical interpretation of the important ones.",18,symbol; regulatory; clinvar; gnomad_sv,biotype; canonical; cell_type; check_existing; clinvar; core_type; hgvs; mane; numbers; protein; regulatory; symbol,dosage_sensitivity; enformer; gnomad_sv; nmd; phenotypes; utrannotator,most_severe; summary,yes,1,,
silver_20_nonhumangermlinesmallcodingpopulationfre,non-human,germline,small,coding,population-frequency,Inherited coding SNVs from a large population panel of Atlantic salmon — my only interest is the population allele frequency of each.,7,symbol,biotype; canonical; check_existing; core_type; numbers; symbol,nmd,most_severe; summary,yes,1,,
silver_21_nonhumangermlinesmallcoding+regulatoryno,non-human,germline,small,coding+regulatory-noncoding,basic-consequence+population-frequency,"Germline small variants from a population study in domestic dogs, coding and regulatory — I want basic consequences and how common each variant is.",10,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; numbers; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,2,,
silver_22_humansomaticstructuralCNVcodingclinicali,human,somatic,structural-CNV,coding,clinical-interpretation,Somatic structural variants disrupting protein-coding genes in a human cancer sample — I want to interpret which are likely clinically actionable.,14,symbol; clinvar; gnomad_sv,biotype; canonical; check_existing; clinvar; core_type; hgvs; mane; numbers; protein; symbol,dosage_sensitivity; gnomad_sv; nmd; phenotypes,most_severe; summary,yes,1,,
silver_23_nonhumangermlinesmallcoding+regulatoryno,non-human,germline,small,coding+regulatory-noncoding,basic-consequence+population-frequency,"A population catalogue of inherited SNVs and indels in honeybees, spanning coding and regulatory sequence — basic consequence plus allele frequency, please.",10,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; numbers; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,2,,
silver_24_humansomaticstructuralCNVregulatorynonco,human,somatic,structural-CNV,regulatory-noncoding,clinical-interpretation,"Somatic non-coding structural variants from a human tumour, in regulatory regions — I want to interpret their functional/clinical relevance.",15,symbol; regulatory; clinvar; gnomad_sv,biotype; canonical; cell_type; check_existing; clinvar; core_type; hgvs; mane; regulatory; symbol,dosage_sensitivity; enformer; gnomad_sv; phenotypes; utrannotator,most_severe; summary,yes,1,,
silver_25_nonhumansomaticsmallcoding+regulatorynon,non-human,somatic,small,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"Somatic point mutations in a mouse tumour, coding and regulatory, and I'd like functional interpretation together with population frequency context.",13,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; numbers; protein; regulatory; sift; symbol,nmd; phenotypes,most_severe; summary,yes,4,,
silver_26_humangermlinestructuralCNVcodingbasiccon,human,germline,structural-CNV,coding,basic-consequence,I have inherited copy-number variants affecting protein-coding genes in a person's genome and just need a quick overview of what they disrupt.,9,symbol,biotype; canonical; check_existing; core_type; mane; numbers; symbol,dosage_sensitivity; nmd,most_severe; summary,yes,1,,
silver_27_humansomaticsmallcoding+regulatorynoncod,human,somatic,small,coding+regulatory-noncoding,basic-consequence+clinical-interpretation,"Somatic SNVs and small indels in a human tumour, coding and regulatory regions — I want a quick consequence overview and clinical interpretation of the drivers.",23,symbol; regulatory; clinvar,af_gnomade; af_gnomadg; biotype; canonical; cell_type; check_existing; clinvar; core_type; hgvs; mane; numbers; polyphen; protein; regulatory; sift; symbol,alphamissense; cadd; enformer; nmd; phenotypes; spliceai; utrannotator,most_severe; summary,yes,1,,
silver_28_nonhumangermlinestructuralCNVregulatoryn,non-human,germline,structural-CNV,regulatory-noncoding,population-frequency,Germline structural variants in the non-coding regulatory genome of a cattle breeding population — my focus is how common each variant is across the population.,8,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; regulatory; symbol,phenotypes,most_severe; summary,yes,3,,
silver_29_humangermlinestructuralCNVcoding+regulat,human,germline,structural-CNV,coding+regulatory-noncoding,basic-consequence+population-frequency,"Inherited copy-number variants in a human population cohort, coding and regulatory — I want basic consequences and population frequencies.",14,symbol; regulatory; gnomad_sv,biotype; canonical; cell_type; check_existing; core_type; frequency; mane; numbers; regulatory; symbol,dosage_sensitivity; gnomad_sv; nmd; phenotypes,most_severe; summary,yes,2,,
silver_30_nonhumansomaticsmallregulatorynoncodingc,non-human,somatic,small,regulatory-noncoding,clinical-interpretation,"Somatic point mutations in the regulatory, non-coding genome of a zebrafish tumour — I want to interpret their likely functional significance.",9,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; regulatory; symbol,phenotypes,most_severe; summary,yes,1,,
